
Akela
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,100%                 ,55%                       ,90%        ,105%       ,38%
induction rate                  ,85%                  ,88%                       ,53%        ,58%        ,111%
activation rate                 ,5%                   ,0%                        ,20%        ,38%        ,46%
membership retention            ,54%                  ,48%                       ,59%        ,79%        ,61%
membership growth               ,-36                  ,-26                       ,           ,6          ,-10
event participation             ,14%                  ,123%                      ,           ,21%        ,24%
brotherhood conversion          ,22%                  ,14%                       ,Event name ,50%        ,45%
donations per memeber           ,13.54                ,16.95                     ,LLD        ,29.28      ,39.28
servicer per member             ,6.37                 ,3.87                      ,28%        ,19.92      ,15.67
training rate                   ,21%                  ,11%                       ,23.22      ,20%        ,50%
youth ordeal members            ,50                   ,38                        ,23         ,24         ,21
youth brotherhood members       ,25                   ,10                        ,10         ,17         ,15
youth vigil members             ,1                    ,1                         ,2          ,3          ,1
young-adult ordeal members      ,4                    ,2                         ,3          ,1          ,0
young adult brotherhood members ,2                    ,7                         ,5          ,5          ,4
young adult vigil members       ,7                    ,5                         ,4          ,3          ,2
adult ordeal members            ,14                   ,13                        ,15         ,7          ,13
adult brotherhood members       ,34                   ,18                        ,16         ,14         ,12
adult vigil members             ,39                   ,24                        ,26         ,33         ,40
all youth members               ,76                   ,49                        ,35         ,44         ,37
all ya members                  ,13                   ,14                        ,12         ,9          ,6
all adult members               ,87                   ,55                        ,57         ,54         ,65
all ordeal members              ,68                   ,53                        ,41         ,32         ,34
all brotherhood members         ,61                   ,35                        ,31         ,36         ,31
all vigil members               ,47                   ,30                        ,32         ,39         ,43
all lodge members               ,176                  ,118                       ,104        ,107        ,108

Caddo
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,62%                  ,88%                       ,100%       ,78%        ,100%
induction rate                  ,53%                  ,69%                       ,69%        ,85%        ,74%
activation rate                 ,61%                  ,47%                       ,68%        ,68%        ,64%
membership retention            ,90%                  ,73%                       ,80%        ,66%        ,59%
membership growth               ,14                   ,12                        ,9          ,-7         ,-22
event participation             ,15%                  ,38%                       ,31%        ,27%        ,45%
brotherhood conversion          ,25%                  ,21%                       ,36%        ,44%        ,87%
donations per memeber           ,0.50                 ,9.12                      ,23.92      ,15.58      ,13.72
servicer per member             ,4.50                 ,5.66                      ,10.19      ,11.65      ,13.21
training rate                   ,6%                   ,10%                       ,0%         ,0%         ,5%
youth ordeal members            ,45                   ,57                        ,49         ,51         ,24
youth brotherhood members       ,25                   ,22                        ,33         ,36         ,43
youth vigil members             ,0                    ,4                         ,4          ,3          ,3
young-adult ordeal members      ,15                   ,13                        ,18         ,6          ,4
young adult brotherhood members ,7                    ,11                        ,10         ,8          ,6
young adult vigil members       ,6                    ,3                         ,5          ,8          ,10
adult ordeal members            ,32                   ,32                        ,28         ,21         ,18
adult brotherhood members       ,58                   ,55                        ,55         ,50         ,43
adult vigil members             ,67                   ,58                        ,63         ,55         ,55
all youth members               ,70                   ,83                        ,86         ,90         ,70
all ya members                  ,28                   ,27                        ,33         ,22         ,20
all adult members               ,157                  ,145                       ,146        ,126        ,116
all ordeal members              ,92                   ,102                       ,95         ,78         ,46
all brotherhood members         ,90                   ,88                        ,98         ,94         ,92
all vigil members               ,73                   ,65                        ,72         ,66         ,68
all lodge members               ,255                  ,255                       ,265        ,238        ,206

Miki
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,34%                  ,79%                       ,77%        ,76%        ,75%
induction rate                  ,60%                  ,45%                       ,69%        ,62%        ,66%
activation rate                 ,29%                  ,22%                       ,21%        ,22%        ,25%
membership retention            ,66%                  ,92%                       ,57%        ,58%        ,56%
membership growth               ,-97                  ,309                       ,-352       ,-308       ,-80
event participation             ,                     ,10%                       ,           ,           ,9%
brotherhood conversion          ,Event name           ,18%                       ,Event name ,Event name ,45%
donations per memeber           ,1908 August Ordeal   ,11.50                     ,nan        ,2207 NOAC  ,12.04
servicer per member             ,nan                  ,15.84                     ,239        ,171        ,27.03
training rate                   ,10.01                ,4%                        ,10.64      ,15.87      ,5%
youth ordeal members            ,848                  ,1021                      ,835        ,628        ,655
youth brotherhood members       ,487                  ,519                       ,454        ,384        ,343
youth vigil members             ,6                    ,7                         ,5          ,3          ,5
young-adult ordeal members      ,86                   ,143                       ,96         ,87         ,51
young adult brotherhood members ,195                  ,238                       ,182        ,167        ,133
young adult vigil members       ,31                   ,34                        ,38         ,33         ,35
adult ordeal members            ,353                  ,265                       ,313        ,256        ,241
adult brotherhood members       ,856                  ,714                       ,789        ,712        ,605
adult vigil members             ,333                  ,291                       ,313        ,325        ,271
all youth members               ,1341                 ,1547                      ,1294       ,1015       ,1003
all ya members                  ,312                  ,415                       ,316        ,287        ,219
all adult members               ,1542                 ,1270                      ,1415       ,1293       ,1117
all ordeal members              ,1287                 ,1429                      ,1244       ,971        ,947
all brotherhood members         ,1538                 ,1471                      ,1425       ,1263       ,1081
all vigil members               ,370                  ,332                       ,356        ,361        ,311
all lodge members               ,3195                 ,3232                      ,3025       ,2595       ,2339

Nakona
years                           ,2019                 ,2020                      ,2021       ,2022       ,2023
election rate                   ,30%                  ,60%                       ,79%        ,71%        ,83%
induction rate                  ,66%                  ,95%                       ,72%        ,63%        ,52%
activation rate                 ,60%                  ,24%                       ,20%        ,35%        ,22%
membership retention            ,89%                  ,50%                       ,84%        ,82%        ,73%
membership growth               ,19                   ,                          ,0          ,9          ,-5
event participation             ,16%                  ,                          ,24%        ,22%        ,19%
brotherhood conversion          ,23%                  ,Event name                ,21%        ,7%         ,38%
donations per memeber           ,2.81                 ,2020 - Activation Event 1 ,10.19      ,5.05       ,10.35
servicer per member             ,3.90                 ,9%                        ,5.10       ,6.29       ,6.19
training rate                   ,7%                   ,5.78                      ,10%        ,11%        ,14%
youth ordeal members            ,48                   ,37                        ,32         ,39         ,26
youth brotherhood members       ,15                   ,9                         ,11         ,8          ,16
youth vigil members             ,1                    ,1                         ,1          ,1          ,0
young-adult ordeal members      ,3                    ,2                         ,5          ,12         ,11
young adult brotherhood members ,17                   ,8                         ,8          ,7          ,9
young adult vigil members       ,3                    ,3                         ,3          ,2          ,2
adult ordeal members            ,22                   ,14                        ,9          ,15         ,16
adult brotherhood members       ,21                   ,15                        ,19         ,17         ,17
adult vigil members             ,24                   ,19                        ,22         ,18         ,19
all youth members               ,64                   ,47                        ,44         ,48         ,42
all ya members                  ,23                   ,13                        ,16         ,21         ,22
all adult members               ,67                   ,48                        ,50         ,50         ,52
all ordeal members              ,73                   ,53                        ,46         ,66         ,53
all brotherhood members         ,53                   ,32                        ,38         ,32         ,42
all vigil members               ,28                   ,23                        ,26         ,21         ,21
all lodge members               ,154                  ,108                       ,110        ,119        ,116

Netopalis
years                           ,2016                 ,2017                      ,2018       ,2019       ,2020  ,2021       ,2022  ,2023
election rate                   ,committee            ,committee                 ,           ,95%        ,100%  ,88%        ,84%   ,66%
induction rate                  ,nan                  ,nan                       ,           ,61%        ,40%   ,102%       ,53%   ,69%
activation rate                 ,nan                  ,nan                       ,           ,8%         ,4%    ,5%         ,6%    ,9%
membership retention            ,elections in 37% of  ,nan                       ,           ,52%        ,51%   ,41%        ,50%   ,63%
membership growth               ,                     ,                          ,           ,-225       ,-200  ,           ,-106  ,57
event participation             ,nan                  ,                          ,           ,10%        ,10%   ,           ,11%   ,14%
brotherhood conversion          ,166                  ,188                       ,           ,21%        ,6%    ,Event name ,31%   ,33%
donations per memeber           ,2016 SR2 Fall Ordeal ,2017 OA Fun Day           ,           ,14.71      ,10.31 ,nan        ,10.63 ,11.18
servicer per member             ,                     ,                          ,           ,7.68       ,1.10  ,77         ,2.03  ,1.98
training rate                   ,3.55                 ,6.60                      ,           ,5%         ,4%    ,12.97      ,6%    ,4%
youth ordeal members            ,689                  ,687                       ,608        ,481        ,400   ,396        ,306   ,339
youth brotherhood members       ,222                  ,253                       ,220        ,161        ,83    ,110        ,104   ,125
youth vigil members             ,3                    ,5                         ,4          ,2          ,4     ,1          ,3     ,3
young-adult ordeal members      ,105                  ,93                        ,121        ,85         ,72    ,42         ,48    ,61
young adult brotherhood members ,81                   ,77                        ,88         ,82         ,55    ,52         ,40    ,34
young adult vigil members       ,13                   ,17                        ,17         ,22         ,19    ,19         ,13    ,9
adult ordeal members            ,289                  ,274                       ,293        ,279        ,194   ,177        ,156   ,192
adult brotherhood members       ,338                  ,354                       ,358        ,320        ,207   ,170        ,168   ,198
adult vigil members             ,95                   ,123                       ,153        ,132        ,130   ,113        ,103   ,113
all youth members               ,914                  ,945                       ,832        ,644        ,487   ,507        ,413   ,467
all ya members                  ,199                  ,187                       ,226        ,189        ,146   ,113        ,101   ,104
all adult members               ,722                  ,751                       ,804        ,731        ,531   ,460        ,427   ,503
all ordeal members              ,1083                 ,1054                      ,1022       ,845        ,666   ,615        ,510   ,592
all brotherhood members         ,641                  ,684                       ,666        ,563        ,345   ,332        ,312   ,357
all vigil members               ,111                  ,145                       ,174        ,156        ,153   ,133        ,119   ,125
